file,readable,classification,completed
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\4200054593__Docker Team Abo 30 User Subscriptionen.pdf,YES,LICENSE,NO
data\Alexander Möhlenbruch - 2024-10-24 Cognigy Foundation.pdf,YES,UNKNOWN,NO
data\Alexander Möhlenbruch - 2024-10-24 Cognigy Foundation.pdf,YES,UNKNOWN,NO
data\Alexander Möhlenbruch - 2024-10-24 Cognigy Foundation.pdf,YES,UNKNOWN,NO
data\Alexander Möhlenbruch - 2024-10-24 Cognigy Foundation.pdf,YES,UNKNOWN,NO
data\Alexander Möhlenbruch - 2024-10-24 Cognigy Foundation.pdf,YES,UNKNOWN,NO
data\Alexander Möhlenbruch - 2024-10-24 Cognigy Foundation.pdf,YES,UNKNOWN,NO
data\test.txt,YES,UNKNOWN,NO
data\Certificate.pdf,YES,UNKNOWN,NO
